Date,GS
2012-05-14,99.769997
2012-05-15,99.870003
2012-05-16,98.199997
2012-05-17,97.08000200000001
2012-05-18,95.489998
2012-05-19,95.82999933333333
2012-05-20,96.17000066666667
2012-05-21,96.510002
2012-05-22,97.529999
2012-05-23,98.040001
2012-05-24,96.860001
2012-05-25,96.699997
2012-05-26,96.989998
2012-05-27,97.279999
2012-05-28,97.57
2012-05-29,97.860001
2012-05-30,94.610001
2012-05-31,95.699997
2012-06-01,92.639999
2012-06-02,92.09333266666667
2012-06-03,91.54666633333333
2012-06-04,91.0
2012-06-05,92.209999
2012-06-06,94.959999
2012-06-07,94.0
2012-06-08,94.540001
2012-06-09,93.96000166666667
2012-06-10,93.38000233333334
2012-06-11,92.800003
2012-06-12,94.040001
2012-06-13,92.720001
2012-06-14,93.82
2012-06-15,95.660004
2012-06-16,94.983335
2012-06-17,94.306666
2012-06-18,93.629997
2012-06-19,96.370003
2012-06-20,96.550003
2012-06-21,93.900002
2012-06-22,93.629997
2012-06-23,92.826665
2012-06-24,92.023333
2012-06-25,91.220001
2012-06-26,91.029999
2012-06-27,93.269997
2012-06-28,93.489998
2012-06-29,95.860001
2012-06-30,96.283333
2012-07-01,96.706665
2012-07-02,97.129997
2012-07-03,98.599998
2012-07-04,97.259998
2012-07-05,95.91999799999999
2012-07-06,95.470001
2012-07-07,95.13666766666667
2012-07-08,94.80333433333332
2012-07-09,94.470001
2012-07-10,94.25
2012-07-11,95.129997
2012-07-12,94.019997
2012-07-13,97.43
2012-07-14,97.51333333333334
2012-07-15,97.59666666666668
2012-07-16,97.68
2012-07-17,97.980003
2012-07-18,96.510002
2012-07-19,95.0
2012-07-20,94.160004
2012-07-21,93.82667066666667
2012-07-22,93.49333733333333
2012-07-23,93.160004
2012-07-24,94.470001
2012-07-25,95.959999
2012-07-26,98.059998
2012-07-27,101.639999
2012-07-28,101.38666500000001
2012-07-29,101.133331
2012-07-30,100.879997
2012-07-31,100.900002
2012-08-01,100.089996
2012-08-02,97.809998
2012-08-03,100.980003
2012-08-04,101.32666766666667
2012-08-05,101.67333233333333
2012-08-06,102.019997
2012-08-07,103.239998
2012-08-08,102.5
2012-08-09,103.599998
2012-08-10,103.019997
2012-08-11,103.216665
2012-08-12,103.413333
2012-08-13,103.610001
2012-08-14,103.260002
2012-08-15,103.129997
2012-08-16,103.489998
2012-08-17,103.599998
2012-08-18,104.15999833333333
2012-08-19,104.71999866666667
2012-08-20,105.279999
2012-08-21,105.32
2012-08-22,104.66999799999999
2012-08-23,104.08000200000001
2012-08-24,104.959999
2012-08-25,105.01333366666667
2012-08-26,105.06666833333333
2012-08-27,105.120003
2012-08-28,105.029999
2012-08-29,105.529999
2012-08-30,104.720001
2012-08-31,105.720001
2012-09-01,105.89250175
2012-09-02,106.06500249999999
2012-09-03,106.23750325
2012-09-04,106.410004
2012-09-05,109.940002
2012-09-06,113.540001
2012-09-07,116.33000200000001
2012-09-08,115.78000133333335
2012-09-09,115.23000066666667
2012-09-10,114.68
2012-09-11,116.690002
2012-09-12,118.239998
2012-09-13,120.66999799999999
2012-09-14,121.360001
2012-09-15,120.87333466666666
2012-09-16,120.38666833333333
2012-09-17,119.900002
2012-09-18,119.879997
2012-09-19,119.019997
2012-09-20,117.629997
2012-09-21,116.720001
2012-09-22,116.67999999999999
2012-09-23,116.639999
2012-09-24,116.599998
2012-09-25,113.5
2012-09-26,113.08000200000001
2012-09-27,115.230003
2012-09-28,113.68
2012-09-29,114.74000033333334
2012-09-30,115.80000066666666
2012-10-01,116.860001
2012-10-02,117.25
2012-10-03,117.910004
2012-10-04,119.900002
2012-10-05,119.309998
2012-10-06,119.35999833333332
2012-10-07,119.40999866666667
2012-10-08,119.459999
2012-10-09,119.629997
2012-10-10,120.08000200000001
2012-10-11,121.989998
2012-10-12,120.199997
2012-10-13,121.63333133333333
2012-10-14,123.06666566666667
2012-10-15,124.5
2012-10-16,123.220001
2012-10-17,124.91999799999999
2012-10-18,125.150002
2012-10-19,123.620003
2012-10-20,123.33666766666667
2012-10-21,123.05333233333333
2012-10-22,122.769997
2012-10-23,119.0
2012-10-24,119.769997
2012-10-25,119.720001
2012-10-26,119.440002
2012-10-27,120.0300014
2012-10-28,120.6200008
2012-10-29,121.21000020000001
2012-10-30,121.7999996
2012-10-31,122.389999
2012-11-01,124.849998
2012-11-02,123.25
2012-11-03,123.52666733333334
2012-11-04,123.80333466666667
2012-11-05,124.08000200000001
2012-11-06,126.25
2012-11-07,117.980003
2012-11-08,115.269997
2012-11-09,116.150002
2012-11-10,116.513334
2012-11-11,116.876666
2012-11-12,117.239998
2012-11-13,116.470001
2012-11-14,114.239998
2012-11-15,115.440002
2012-11-16,115.839996
2012-11-17,116.65999833333333
2012-11-18,117.48000066666667
2012-11-19,118.300003
2012-11-20,118.089996
2012-11-21,117.699997
2012-11-22,119.0049975
2012-11-23,120.309998
2012-11-24,120.51999933333333
2012-11-25,120.73000066666667
2012-11-26,120.940002
2012-11-27,118.410004
2012-11-28,119.33000200000001
2012-11-29,118.730003
2012-11-30,117.790001
2012-12-01,117.99333466666667
2012-12-02,118.19666833333333
2012-12-03,118.400002
2012-12-04,116.58000200000001
2012-12-05,117.129997
2012-12-06,117.199997
2012-12-07,116.57
2012-12-08,116.71666733333333
2012-12-09,116.86333466666666
2012-12-10,117.010002
2012-12-11,118.860001
2012-12-12,118.089996
2012-12-13,118.5
2012-12-14,119.360001
2012-12-15,120.73666666666666
2012-12-16,122.11333233333333
2012-12-17,123.489998
2012-12-18,127.769997
2012-12-19,127.25
2012-12-20,129.720001
2012-12-21,128.440002
2012-12-22,128.14000166666665
2012-12-23,127.84000133333333
2012-12-24,127.540001
2012-12-25,127.3500025
2012-12-26,127.160004
